Specifications
--------------

Compiler: GCC 9.3.0, Optimization -O3
System: Ubuntu 20.04
CPU: AMD FX-6300 (6 cores)
RAM: 8GB

Matrix-vector multiplication
----------------------------

Dimension	Dense (Threads: 1)	Dense (Threads: 2)	Dense (Threads: 3)	Dense (Threads: 4)	Sparse	
80	161.669	100.631	87.3498	82.4738	42.1572	
85	195.936	125.498	92.8928	105.126	45.3676	
90	225.703	140.587	113.793	129.771	47.745	
95	270.622	172.341	141.985	160.8	49.7695	
100	303.442	185.668	140.834	156.935	51.5918	
105	358.485	207.513	171.925	193.486	55.0042	
110	406.299	246.068	177.249	229.775	58.3416	
115	469.252	273.292	211.621	233.567	62.6294	
120	513.846	291.307	215.402	270.054	64.1088	
125	592.516	343.166	255.095	321.249	65.5265	
130	658.523	372.639	297.667	321.999	68.1093	
135	752.331	437.429	311.417	384.403	71.7802	
140	814.332	456.746	347.55	429.094	73.4635	
145	916.397	506.946	364.314	434.017	75.1586	
150	1002.47	569.391	416.955	497.123	77.9983	
155	1117.69	619.547	482.805	574.284	80.5076	
160	1208.19	654.875	488.369	561.119	83.6058	
165	1334.69	739.486	557.249	644.989	85.8556	
170	1454.72	798.184	569.569	726.969	91.3167	
175	1614.76	900.014	649.721	832.659	93.0342	
180	1722.7	931.331	655.032	811.946	95.4371	
185	1881.4	1010.45	736.717	918.466	97.2743	
190	2027.6	1119.69	822.217	1029.06	100.229	
195	2240.41	1201.57	854.31	1033.94	101.893	
200	2385.16	1256.74	937.442	1132.98	105.216	
205	2599.56	1393.53	962.004	1123.03	108.568	
210	2793.8	1480.66	1064.03	1261.18	115.101	
215	3005.73	1625.1	1192.69	1410.49	115.116	
220	3188.62	1683.39	1199.46	1469.53	116.255	
225	3431.8	1801.15	1324.03	1532.01	116.743	
230	3634.88	1945.3	1344.07	1667.74	126.777	
235	3938.49	2069.48	1492.57	1684.08	127.162	
240	4683.66	2153.26	1504.04	1840.64	127.851	
245	4428.56	2335.85	1643.21	2005.18	131.821	
250	4606.86	2456.88	1799.53	2056.99	134.598	
255	4953.4	2721.2	1864.9	2417.6	136.375	
260	5155.13	3124.32	1985.75	2368.91	139.438	
265	5514.24	3355.63	2035.33	2435.9	143.89	
270	5811.72	3521.5	2197.39	2793.38	144.785	
275	6166.67	3686.94	3245.22	2835.24	143.815	
280	6397.88	3922.17	3063.78	3071.55	142.598	
285	6874.95	4381.81	4061.43	3291.76	154.735	
290	7693.35	6615.39	7563.71	17694.9	190.158	
295	9335.89	7948.6	7005.31	3518.34	155.478	
300	8414.51	4691.23	3744.06	4202.69	155.918	

Decomposition and solving
-------------------------

Dimension	Dense: PartialPivLU	Dense: FullPivLU	Dense: HouseholderQR	Dense: CompleteOrthogonalDecomposition	Dense: LLT	Dense: LDLT	Sparse: SimplicialLLT	Sparse: SimplicialLDLT	Sparse: SparseLU	Sparse: ConjugateGradient	Sparse: LeastSquaresConjugateGradient	Sparse: BiCGSTAB	
5	0.416906	0.602925	1.31059	1.80885	0.46864	0.446703	2.45777	2.358	6.22685	0.805587	1.3133	1.62163	
10	1.20572	2.44145	3.71491	4.41805	1.11933	1.19672	6.82674	6.84519	12.8315	2.88794	5.79979	4.5516	
15	2.51164	6.89428	8.62053	8.84043	2.02273	2.55923	11.4967	11.1421	17.8794	6.1122	12.9821	6.79849	
20	5.36103	11.5353	11.6208	14.6658	3.79459	4.49972	15.7715	14.932	25.0557	7.95725	18.3814	9.14264	
25	9.24688	21.2545	25.1688	23.5426	5.56411	7.35108	19.736	18.957	44.1751	9.72583	25.3963	11.9128	
30	12.4308	32.2403	25.3197	31.1607	8.1091	10.6736	22.8315	21.76	53.9835	11.973	28.0862	14.0239	
35	18.0315	52.1643	37.2707	45.6281	13.2396	14.6667	26.6453	25.3956	63.7445	13.9924	35.7256	17.9352	
40	22.2044	71.1141	47.218	56.3284	15.3052	18.9559	29.5482	28.0811	73.023	17.5359	43.1428	20.2228	
45	30.5778	100.685	65.4265	78.1229	21.2065	24.3669	33.6344	31.9227	80.1961	18.7914	44.8629	22.4708	
50	37.0097	130.627	135.103	94.816	25.3507	31.5305	37.6806	35.0362	93.3934	21.21	52.0329	25.2624	
55	49.7676	181.587	164.105	124.104	32.1588	38.6714	41.9313	39.6175	101.474	24.8361	57.6956	27.6662	
60	58.0867	231.967	182.489	149.169	35.7464	47.0456	44.9661	41.9148	111.283	26.4384	67.6972	31.958	
65	72.2301	294.571	216.028	184.554	46.5198	59.1514	47.6593	45.4514	121.27	29.3785	72.4929	34.9073	
70	80.1946	355.962	238.812	211.937	51.6762	66.9742	51.9473	47.9653	130.192	32.9529	79.483	36.0384	
75	99.7147	440.51	272.17	257.254	63.6569	79.5376	55.4178	52.2883	140.065	34.9008	87.1967	40.2266	
80	116.221	498.121	305.492	296.725	66.4213	91.5012	59.7917	54.6973	145.735	37.8981	95.6175	41.6649	
85	161.598	601.503	364.891	363.744	82.4488	116.294	62.3753	59.8346	158.156	40.3026	104.327	46.1861	
90	157.601	703.586	390.21	401.288	101.931	122.635	64.7677	61.5706	167.489	43.712	116.04	48.1036	
95	178.725	834.472	450.486	462.637	110.916	141.289	68.1608	65.6285	173.885	44.7764	117.591	49.6487	
100	195.197	907.724	530.479	513.54	111.726	164.12	73.0634	68.0119	187.53	48.4981	124.324	51.5913	
105	231.248	1126.61	596.075	580.13	139.54	175.839	75.5246	71.6493	193.158	50.6151	132.405	53.5396	
110	266.928	1267.97	652.881	643.335	145.626	204.974	79.5679	75.1504	201.382	53.4652	136.211	55.4293	
115	298.366	1398.77	738.869	736.841	173.385	221.87	82.7288	78.8725	212.967	58.0257	152.285	54.3988	
120	310.074	1525.7	771.654	824.426	171.653	243.974	87.1036	81.0032	223.296	62.6457	148.035	60.5728	
125	385.903	1744.11	871.975	940.356	212.857	284.856	89.8609	85.1596	230.423	60.7601	162.534	64.5432	
130	393.094	2002.45	943.235	1025.5	202.841	344.806	93.2995	88.3848	241.079	63.1521	169.8	67.4086	
135	435.992	2131.54	1029.14	1113.42	227.906	327.118	97.0389	92.927	247.661	67.9857	184.187	72.8156	
140	451.474	2332.8	1091.2	1218.97	234.83	369.845	100.747	94.4704	258.49	68.6187	188.444	70.4974	
145	510.188	2608.27	1255.83	1336.35	271.63	389.991	103.446	98.8554	267.701	72.5983	200.304	74.206	
150	554.617	2801.63	1337.99	1453.46	285.464	436.909	106.85	101.447	277.277	74.0903	201.603	71.5761	
155	624.392	3164.7	1467.04	1583.53	323.41	461.451	110.393	104.239	286.906	76.9347	208.47	80.3909	
160	792.471	3522.9	1562.22	1886.24	333.446	549.021	112.665	107.028	294.598	78.6269	213.396	80.7611	
165	731.608	3844.19	1686.82	1872.1	377.509	545.609	117.156	111.948	307.642	82.2283	226.6	83.67	
170	790.684	3987.25	1806.2	2103.11	395.751	622.266	121.819	113.944	315.667	84.292	222.593	85.0922	
175	862.102	4506.18	1939.97	2210.57	441.609	631.84	129.748	117.271	323.2	84.2743	232.383	90.2734	
180	894.03	4758.34	2036.55	2354.69	447.201	692.933	126.84	121.505	335.912	87.6355	242.875	91.9573	
185	994.525	5326.8	2195.83	2544.72	503.626	736.564	130.107	123.538	347.817	90.5958	265.128	103.798	
190	1039.53	5684.17	2324.23	2734.33	522.073	808.864	133.718	126.583	351.991	90.9597	257.042	95.1637	
195	1160.01	6081.49	2558.84	2929.07	584.569	851.313	137.261	130.746	361.264	96.0816	265.164	103.903	
200	1190.48	6447.31	2685.57	3120.42	587.562	928.071	141.023	133.122	370.932	98.1008	267.648	107.685	
205	1370.26	7245.54	2934.32	3403.34	662.611	1027.25	145.029	135.706	381.814	100.395	287.663	117.963	
210	1366.13	7470.7	3028.74	3595	680.041	1051.3	147.73	139.374	391.377	101.889	283.293	112.426	
215	1492.63	8162.68	3240.18	3798.46	752.427	1107.57	150.163	142.113	397.079	104.586	291.35	111.599	
220	1553.17	8427.8	3398.91	4036.48	761.617	1214.5	154.788	145.037	407.322	105.996	292.946	108.035	
225	1686.19	9135.28	3602.52	4316.85	843.336	1249.65	157.637	149.105	414.453	108.629	308.342	110.81	
230	1754.97	9735.61	3768.75	4579.49	865.985	1347.43	161.607	152.373	426.227	110.726	299.099	113.543	
235	1914.25	10606.5	4041.12	4855.89	948.356	1386.68	164.209	157.081	436.063	114.207	317.025	122.278	
240	1995.88	10930.2	4215.41	5089.27	967.16	1528.98	167.647	158.167	441.081	115.616	320.414	118.84	
245	2135	11888.6	4533.67	5450.74	1059.71	1546.76	172.409	163.515	450.574	118.927	333.603	115.361	
250	2206.92	12256.5	4726.24	5738.7	1088.99	1677.29	175.339	165.757	464.238	122.995	336.346	134.673	
255	2821.47	13677.9	5141.74	6355.14	1204.3	2012.04	194.605	184.668	472.92	122.635	342.88	132.606	
260	2416.12	13672.4	5211.71	6513.4	1157.9	1929.59	182.314	171.774	483.657	124.357	343.535	127.415	
265	2572.2	14813.6	5527.31	6791.24	1262.22	1913.18	186.523	176.678	491.443	127.509	346.408	130.189	
270	2673.56	15317.1	5742.77	7116.35	1292.54	2038.28	189.331	179.249	501.47	129.82	363.466	131.958	
275	2866.28	16677.7	6083.33	7455.52	1402.89	2107.51	192.37	181.589	509.119	131.281	377.776	144.493	
280	2919.2	17048.6	6279.06	7853.3	1412.38	2262.73	195.323	185.327	517.52	134.278	357.504	147.202	
285	3142.24	18309.3	6639.19	8177.27	1536.3	2329.17	199.736	188.297	527.152	136.001	384.235	139.852	
290	3232.52	18945.6	6963.88	8667.34	1578.05	2478.15	203.795	192.446	536.6	142.758	388.871	153.224	
295	3469.09	19965.5	7361.3	9070.03	1703.94	2552.4	205.952	195.242	546.544	140.735	401.984	152.76	
300	3582.88	20607.1	7594.4	9465.86	1712.71	2755.48	211.555	198.93	554.221	143.186	405.98	138.549
